,config,score
157,"[(1, 1, 0), (0, 1, 1, 24), 't']",1.1395257419330496
158,"[(2, 1, 1), (1, 1, 1, 24), 't']",1.139893501529589
159,"[(1, 0, 1), (0, 1, 2, 24), 'ct']",1.140706108910698
160,"[(1, 1, 0), (1, 1, 1, 24), 'n']",1.140875109077742
161,"[(1, 0, 2), (0, 1, 1, 24), 'c']",1.141041086257286
162,"[(1, 1, 2), (0, 1, 2, 24), 'n']",1.1411549930249292
163,"[(1, 1, 0), (1, 1, 1, 24), 'c']",1.141236335885899
164,"[(1, 0, 1), (1, 1, 1, 24), 'c']",1.1416008236903994
165,"[(2, 0, 2), (1, 1, 1, 24), 'c']",1.1418874465421567
166,"[(0, 1, 1), (1, 1, 1, 24), 't']",1.141986152994213
167,"[(2, 0, 0), (0, 1, 1, 24), 'ct']",1.1421545780013431
168,"[(0, 1, 1), (0, 1, 1, 24), 'ct']",1.1422045184300118
169,"[(2, 0, 0), (1, 1, 1, 24), 'n']",1.142449148760892
170,"[(2, 0, 0), (0, 1, 2, 24), 't']",1.1432952290737362
171,"[(0, 1, 2), (1, 1, 1, 24), 'n']",1.1437848861459705
172,"[(2, 1, 0), (0, 1, 1, 24), 'c']",1.144060843584449
173,"[(0, 1, 1), (0, 1, 1, 24), 't']",1.1440880350167177
174,"[(0, 1, 2), (0, 1, 1, 24), 'c']",1.1443823412033374
175,"[(2, 1, 1), (0, 1, 1, 24), 't']",1.1445611228939736
176,"[(0, 1, 1), (1, 1, 1, 24), 'n']",1.1453008390534811
177,"[(2, 1, 1), (1, 1, 1, 24), 'ct']",1.1462521809646895
178,"[(1, 1, 1), (1, 1, 1, 24), 'ct']",1.1465503930336465
179,"[(1, 0, 2), (1, 1, 1, 24), 'c']",1.1471136066104062
180,"[(2, 1, 1), (0, 1, 1, 24), 'c']",1.147180934792109
181,"[(2, 1, 1), (0, 1, 1, 24), 'ct']",1.1471868775690324
182,"[(2, 0, 1), (1, 1, 1, 24), 'n']",1.1480854056339325
183,"[(2, 1, 2), (0, 1, 1, 24), 'c']",1.1482278350820552
184,"[(1, 1, 0), (1, 1, 1, 24), 'ct']",1.1482842680530634
185,"[(0, 1, 0), (0, 1, 2, 24), 'ct']",1.1487386040819225
186,"[(2, 1, 1), (1, 1, 1, 24), 'c']",1.1487669071176536
187,"[(2, 0, 2), (1, 1, 2, 24), 'ct']",1.149231884309397
188,"[(0, 1, 2), (1, 1, 1, 24), 't']",1.1513309707924213
189,"[(1, 1, 0), (0, 1, 1, 24), 'ct']",1.151533532053225
190,"[(2, 0, 0), (1, 1, 1, 24), 't']",1.1525539879662825
