,station,total,id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,milesfromstat
258,KCKN0,952,KCKN0,Crookston / Shirley,US,MN,,KCKN,47.8417,-96.6215,274.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,738.8663286112119
141,72734,948,72734,Sault Ste. Marie Muni,US,MI,72734.0,KANJ,46.4833,-84.35,218.0,America/Detroit,1973-01-01,2022-09-22,1931-01-01,2022-09-14,1931-01-01,2022-01-01,295.6750192659254
117,72557,945,72557,Sioux Gateway Airport,US,IA,72557.0,KSUX,42.3833,-96.05,335.0,America/Chicago,1942-10-01,2022-09-22,1942-10-01,2022-09-14,1942-01-01,2022-01-01,629.97473760112
377,KJXN0,944,KJXN0,Jackson / Coffman Trailer Court,US,MI,,KJXN,42.2604,-84.4604,305.0,America/Detroit,1973-01-01,2022-09-22,1973-01-03,2022-04-24,2000-01-01,2022-01-01,36.74975259240599
7,2W8UZ,944,2W8UZ,Chatham Kent,CA,ON,,,42.31,-82.08,197.0,America/Toronto,2020-01-01,2022-09-21,2018-10-29,2022-09-19,2018-01-01,2022-01-01,85.5976645075707
145,72745,940,72745,Duluth International Airport,US,MN,72745.0,KDLH,46.8333,-92.2167,435.0,America/Chicago,1948-01-01,2022-09-22,1948-01-01,2022-09-14,1948-01-01,2022-01-01,525.2463304779079
14,71148,939,71148,Pilot Mound,CA,MB,71148.0,CWPO,49.19,-98.9,470.0,America/Winnipeg,1957-12-04,2022-09-22,1957-12-01,2022-09-18,1957-01-01,2022-01-01,874.5568568704755
458,KPBH0,936,KPBH0,Phillips,US,WI,,KPBH,45.7089,-90.4025,456.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,409.7905098113207
133,72650,935,72650,Spencer / Birchwood Estates,US,IA,72650.0,,43.1667,-95.15,408.0,America/Chicago,,,1895-02-01,2022-09-12,1895-01-01,2022-01-01,583.8604602454817
122,72637,934,72637,Flint Bishop International  Airport,US,MI,72637.0,KFNT,42.9667,-83.0833,238.0,America/Detroit,1973-01-01,2022-09-22,1948-05-02,2022-09-14,1948-01-01,2022-01-01,61.44879123517779
465,KPHN0,934,KPHN0,Port Huron / Marysville,US,MI,,KPHN,42.911,-82.5289,198.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-25,2007-01-01,2022-01-01,78.1577427351448
364,KIKV0,929,KIKV0,Ankeny / Oakwood Heights Mobile Home Park,US,IA,,KIKV,41.6911,-93.5665,277.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2011-01-01,2022-01-01,506.9777061692236
135,72653,928,72653,Chamberlain Municipal Airport,US,SD,72653.0,K9V9,43.7667,-99.3167,517.0,America/Chicago,2006-01-01,2022-09-21,1998-02-01,2022-09-12,1998-01-01,2022-01-01,794.9649611091746
134,72651,925,72651,Sioux Falls Foss Field,US,SD,72651.0,KFSD,43.5833,-96.75,436.0,America/Chicago,1942-10-01,2022-09-22,1932-01-01,2022-09-14,1932-01-01,2022-01-01,665.8706956301661
368,KIRK0,925,KIRK0,Kirksville / Millard,US,MO,,KIRK,40.0935,-92.5449,294.0,America/Chicago,1973-01-01,2022-09-22,1973-01-01,2022-04-24,2004-01-01,2022-01-01,481.6028075126823
264,KCNC0,924,KCNC0,Chariton / Whitebreast,US,IA,,KCNC,41.0196,-93.3597,320.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2014-01-01,2022-01-01,504.4623494481516
132,72648,921,72648,Escanaba,US,MI,72648.0,KESC,45.75,-87.0333,180.0,America/Detroit,2006-01-01,2022-09-22,1948-01-01,2022-04-25,1948-01-01,2022-01-01,293.463962833756
123,72638,919,72638,Roscommon County Airport,US,MI,72638.0,KHTL,44.35,-84.6667,351.0,America/Detroit,1973-01-01,2022-09-22,1964-07-01,2022-09-14,1964-01-01,2022-01-01,154.00339312121113
140,72659,916,72659,Aberdeen Regional Airport,US,SD,72659.0,KABR,45.45,-98.4167,397.0,America/Chicago,1973-01-01,2022-09-22,1893-01-01,2022-09-14,1893-01-01,2022-01-01,765.0109507697753
131,72646,916,72646,Wausau / Wausau Junction,US,WI,72646.0,KAUW,44.9263,-89.627,366.0,America/Chicago,1990-03-14,2022-09-22,1941-12-01,2022-09-14,1941-01-01,2022-01-01,349.1094547194017
138,72656,913,72656,"Winner, Bob Wiley Field Airport",US,SD,72656.0,KSFD,43.3833,-99.8333,619.0,America/Chicago,,,1893-01-01,2022-09-14,1893-01-01,2022-01-01,820.3403435250815
143,72743,910,72743,Marquette,US,MI,72743.0,KMQT,46.5333,-87.55,434.0,America/Detroit,1973-01-01,2022-08-29,1857-09-01,2022-09-14,1857-01-01,2022-01-01,352.12739055511787
459,KPCW0,906,KPCW0,Port Clinton / Gypsum,US,OH,,KPCW,41.5163,-82.8695,180.0,America/New_York,2014-07-31,2022-09-22,2014-08-01,2022-04-25,2020-01-01,2022-01-01,66.4929552626028
35,71441,905,71441,Gretna,CA,MB,71441.0,CWGN,49.03,-97.56,253.0,America/Winnipeg,1981-10-26,2022-09-20,1885-04-20,2022-09-18,1885-01-01,2022-01-01,815.9604488886299
270,KCWI0,903,KCWI0,Clinton / Elvira,US,IA,,KCWI,41.8311,-90.3291,216.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2008-01-01,2022-01-01,339.7745414627552
148,72755,900,72755,Bemidji,US,MN,72755.0,KBJI,47.5,-94.9333,423.0,America/Chicago,2006-01-01,2022-09-22,1896-02-01,2022-09-09,1896-01-01,2022-01-01,658.2831366647191
4,1JWST,897,1JWST,Lake Superior Provincial Park,CA,ON,71640.0,,47.72,-84.81,401.0,America/Nipigon,2020-01-01,2022-09-21,2013-11-19,2022-09-19,2014-01-01,2022-01-01,383.1463448391664
15,71170,897,71170,Carberry CS,CA,MB,71170.0,CWCM,49.91,-99.36,384.0,America/Winnipeg,1994-09-01,2022-09-20,1994-07-27,2022-09-18,1995-01-01,2022-01-01,916.5088167539558
373,KJKJ0,896,KJKJ0,Moorhead / Park Lane Mobile Home Park,US,MN,,KJKJ,46.8393,-96.664,280.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,712.0405789291231
115,72554,894,72554,Omaha / Offutt Air Force Base,US,NE,72554.0,KOFF,41.1167,-95.9,319.0,America/Chicago,1948-01-12,2022-09-22,1948-01-13,2022-04-25,1948-01-01,2020-01-01,633.0113231458769
471,KPNM0,892,KPNM0,Princeton / Princetown [Misspelling],US,MN,,KPNM,45.5599,-93.6082,299.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,543.1495742413008
139,72658,891,72658,Minneapolis-St Paul International,US,MN,72658.0,KMSP,44.8667,-93.05,256.0,America/Chicago,1945-01-01,2022-09-22,1938-04-09,2022-09-14,1938-01-01,2022-01-01,501.2513469747858
473,KPOV0,887,KPOV0,Ravenna / Birchwood Manor,US,OH,,KPOV,41.2102,-81.2516,365.0,America/New_York,2009-03-18,2022-09-22,2009-03-19,2022-04-25,2009-01-01,2022-01-01,146.6773196844396
147,72753,850,72753,Hector International Airport,US,ND,72753.0,KFAR,46.9333,-96.8167,274.0,America/Chicago,1948-01-01,2022-09-22,1891-05-19,2022-09-14,1891-01-01,2022-01-01,721.176649692431
137,72655,847,72655,Saint Cloud / St Cloud / Cable,US,MN,72655.0,KSTC,45.5466,-94.0599,314.0,America/Chicago,1973-01-01,2022-09-22,1904-09-01,2022-09-14,1904-01-01,2022-01-01,563.2843800866341
367,KIOW0,836,KIOW0,Iowa City / Baculis Mobile Home Park,US,IA,,KIOW,41.6398,-91.5481,204.0,America/Chicago,1997-01-23,2022-09-22,1997-02-13,2022-04-24,2005-01-01,2021-01-01,403.97761853607
130,72645,834,72645,Austin Straubel International  Airport,US,WI,72645.0,KGRB,44.4833,-88.1333,212.0,America/Chicago,1950-01-01,2022-09-22,1886-09-01,2022-09-14,1886-01-01,2022-01-01,270.49903442984964
10,5RUZT,768,5RUZT,Woodstock,CA,ON,,,43.14,-80.77,282.0,America/Toronto,,,2000-01-01,2022-09-09,2000-01-01,2006-01-01,164.21712339043816
8,3S56J,740,3S56J,Rawson Lake,CA,ON,71855.0,,49.66,-93.73,435.0,America/Rainy_River,2020-01-01,2022-09-20,2003-12-01,2022-09-18,2003-01-01,2021-01-01,702.5677577138224
569,V5792,235,V5792,Mine Centre Southwest,CA,ON,,,48.76,-92.62,361.0,America/Rainy_River,,,2005-10-01,2022-09-18,2005-01-01,2022-01-01,623.370059821496
