,station,total,id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,milesfromstat
53,71632,1327,71632,"Britt, Ontario",CA,ON,,CWBI,45.8,-80.5333,190.0,America/Nipigon,2017-02-28,2017-03-15,1977-07-01,2022-09-18,1981-01-01,2022-01-01,294.23847998671044
100,72537,1327,72537,Detroit Metropolitan,US,MI,72537.0,KDTW,42.2333,-83.0,195.0,America/Detroit,1942-08-01,2022-09-22,1942-08-01,2022-09-14,1942-01-01,2022-01-01,38.25335748707118
50,71582,1325,71582,Dryden,CA,ON,,CYHD,49.8317,-92.7333,413.0,America/Winnipeg,1962-01-01,2022-09-22,1977-07-01,2022-09-18,2006-01-01,2022-01-01,679.5301566230653
91,72525,1324,72525,Youngstown-Warren Reg Airprt,US,OH,72525.0,KYNG,41.25,-80.6667,365.0,America/New_York,1948-01-01,2022-09-22,1934-08-01,2022-09-14,1934-01-01,2022-01-01,172.72974566141107
86,72428,1324,72428,Port Columbus International  Airport,US,OH,72428.0,KCMH,40.0,-82.05,248.0,America/New_York,1945-04-01,2022-09-22,1945-04-01,2022-09-14,1945-01-01,2022-01-01,177.08831415771667
363,KIKK0,1321,KIKK0,Kankakee / Aroma Park,US,IL,,KIKK,41.0714,-87.8463,192.0,America/Chicago,2006-01-22,2022-09-22,2006-04-01,2022-04-24,2011-01-01,2022-01-01,226.63092833313996
344,KHCO0,1317,KHCO0,Hallock / Viking Land Terrace,US,MN,,KHCO,48.7527,-96.943,250.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,782.0269663328795
52,71631,1317,71631,Mount Forest,CA,ON,71631.0,CWLS,43.98,-80.75,414.0,America/Toronto,1962-01-01,2022-09-22,1977-07-04,2022-09-20,1995-01-01,2022-01-01,194.068589173872
332,KGLR0,1317,KGLR0,Gaylord / Nottingham Forest Mobile Home Park,US,MI,,KGLR,45.0136,-84.7036,405.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,198.55277627689645
89,72521,1293,72521,Akron-Canton Regional Airport,US,OH,72521.0,KCAK,40.9167,-81.45,374.0,America/New_York,1973-01-01,2022-09-22,1948-07-01,2022-09-14,1948-01-01,2022-01-01,149.26079234411594
65,71739,1282,71739,Timmins Airport,CA,ON,71739.0,CYTS,48.57,-81.38,295.0,America/Toronto,1955-07-02,2022-09-22,1955-04-01,2022-09-19,1955-01-01,2022-01-01,453.1140187677672
90,72524,1277,72524,Cleveland-Hopkins International,US,OH,72524.0,KCLE,41.4,-81.85,241.0,America/New_York,1973-01-01,2022-09-22,1938-05-01,2022-09-14,1938-01-01,2022-01-01,113.15819407798126
54,71633,1274,71633,Wiarton Airport,CA,ON,71633.0,CYVV,44.74,-81.11,222.0,America/Toronto,1950-01-01,2022-09-22,1947-07-04,2022-09-19,1947-01-01,2022-01-01,218.48443857011333
93,72530,1260,72530,Chicago O’hare Airport,US,IL,72530.0,KORD,41.9833,-87.9167,204.0,America/Chicago,1946-10-01,2022-09-22,1946-10-09,2022-09-14,1946-01-01,2022-01-01,215.00120045122688
358,KICL0,1254,KICL0,Clarinda,US,IA,,KICL,40.7222,-95.0266,303.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2015-01-01,2022-01-01,594.153978176157
319,KFOZ0,1247,KFOZ0,Bigfork,US,MN,,KFOZ,47.7828,-93.6502,412.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,617.9134798720664
88,72520,1246,72520,Greater Pittsburgh International,US,PA,72520.0,KPIT,40.4833,-80.0667,367.0,America/New_York,1945-02-01,2022-09-22,1945-02-01,2022-09-14,1945-01-01,2022-01-01,225.8191735795129
